Fecha,CAPITAL,ACCIONES GLOBAL,DIVER DINAMICO,RENTA FIJA GLOBAL,RENTA FIJA PESOS,ACCIONES COLOMBIA,DIVER MODERADO,ESTABLE,LIQUIDEZ DOLAR,SOSTENIBLE GLOBAL,FINCA RAIZ INTERNACIONAL,ORO,DIVER CONSERVADOR
2026-07-05,15806.18,89777.35,15860.82,15176.53,16598.62,20087.2,17021.55,20409.43,8918.57,14012.25,8869.38,17177.74,14631.45
2026-07-06,15810.23,90286.24,16030.45,15244.69,16583.78,20091.41,17073.0,20412.15,8960.28,14117.36,8828.12,17180.48,14644.58
2026-07-07,15808.91,88678.62,15860.4,15154.97,16602.92,20087.14,17013.62,20413.08,8922.23,13996.02,8835.0,17087.94,14636.55
2026-07-08,15812.23,88092.06,15831.97,15135.62,16591.9,20255.73,17002.17,20416.42,8933.59,13990.44,8881.42,16684.11,14639.05
2026-07-09,15816.05,88643.62,15788.5,15017.19,16605.17,20090.05,16983.17,20422.01,8848.88,13976.02,8785.93,16907.8,14636.38
2026-07-10,15825.81,87554.97,15605.59,14762.7,16631.37,20202.33,16918.79,20432.01,8705.34,13875.77,8721.17,16575.62,14631.21
2026-07-11,15830.18,87552.49,15605.04,14762.87,16636.02,20201.91,16920.88,20437.02,8705.17,13876.94,8720.82,16575.59,14634.66
2026-07-12,15834.5,87550.01,15604.5,14763.03,16640.67,20201.49,16922.96,20441.99,8705.0,13878.04,8720.46,16575.56,14638.1
2026-07-13,15838.83,87547.53,15603.95,14763.19,16645.32,20201.07,16925.04,20446.97,8704.83,13879.14,8725.65,16575.53,14641.54
2026-07-14,15842.26,87174.64,15545.32,14762.23,16647.04,20120.69,16897.26,20452.24,8715.29,13843.34,8574.99,16511.78,14645.72
2026-07-15,15847.96,86643.42,15496.94,14709.49,16673.76,20068.77,16877.47,20458.3,8669.63,13844.43,8623.4,16314.04,14650.55
